BTO,-6.2922777,106.5657222,1.00
BTR,33.5443166,72.8560666,3.00
BTT,66.9050083,-151.5358833,20.00
BTV,44.3971055,-73.1826361,-15.00
BTY,36.8005972,-116.7476416,16.00
BUB,50.9023333,4.5380833,1.00
BUD,47.4504444,19.2494444,5.00
BUD,40.6165972,-83.0638277,-5.00
BUE,50.1787305,7.0694777,3.00
BUG,46.6777777,19.6816666,5.00
BUI,42.6330277,20.4958333,2.00
BUK,40.2418611,33.1049166,6.00
BUM,38.2720805,-94.4882611,7.00
BUN,51.1186111,4.8422222,1.00
BUN,1.5659305,30.2294888,2.00
BUN,3.8252777,-76.9952777,-6.00
BUR,42.3549722,-3.6135833,1.00
BUT,2.8183333,24.8100000,1.00
BUT,12.6666666,101.0004722,-1.00
BUV,5.5322222,-73.8586111,-4.80
BUZ,28.9513055,50.8259722,3.00
BVB,52.3197500,4.7920000,0.20
BVI,2.8521027,-60.6868916,-16.00
BVL,40.7260972,-113.7574166,12.00
BVO,36.8343361,-96.0184305,8.00
BVT,40.5561722,-87.0693750,1.00
BWD,31.8925833,-98.9574611,8.00
BWZ,40.7984333,-74.8218333,-11.00
BXK,33.4534583,-112.8245944,14.00
BYI,42.5802388,-113.8658583,18.00
BYP,33.5374861,-96.2340944,6.00
BYZ,53.0984166,17.9717222,6.00
BZ,-4.2514527,15.2471944,-1.00
BZA,32.7681083,-114.6029472,14.00
BZH,48.4420555,-4.4441944,-1.00
BZM,35.8688527,-81.2405277,-6.00
BZN,51.7481944,-1.6035250,1.00
BZN,45.7839000,-111.1554555,18.00
BZW,63.9222222,65.0477777,21.00
CAB,15.4822777,121.0243055,-3.00
CAD,48.0591666,1.3870833,1.00
CAE,33.8572500,-81.0539027,-2.00
CAG,39.2489722,9.0540555,3.00
CAI,30.1520000,31.4238888,5.00
CAK,34.3005027,35.6999000,5.00
CAL,4.9218611,8.3200555,-1.00
CAM,45.5702222,8.6575277,3.00
CAM,42.9942888,-73.3440194,-14.00
CAR,39.1113611,9.5080277,3.00
CAR,-36.7555555,-73.0530555,5.00
CAS,38.7482500,-9.3620277,-3.00
CAT,-28.5835277,-65.7468611,-7.00
CAV,48.7810833,4.1469444,2.00
CAY,41.5137777,32.0445555,6.00
CB,-35.2814444,149.1957305,12.00
