table,code_file
dbo.adl_flight_core,api/adl/waypoints.php
dbo.adl_flight_core,api/analysis/escape_desert_archive.php
dbo.adl_flight_core,api/ctp/flights/compliance.php
dbo.adl_flight_core,api/ctp/flights/detect.php
dbo.adl_flight_core,api/ctp/flights/get.php
dbo.adl_flight_core,api/gdt/programs/fairness.php
dbo.adl_flight_core,api/gdt/programs/reoptimize.php
dbo.adl_flight_core,api/gdt/programs/simulate.php
dbo.adl_flight_core,api/simulator/traffic.php
dbo.adl_flight_core,api/stats/StatsHelper.php
dbo.adl_flight_core,api/stats/boundary_debug.php
dbo.adl_flight_core,api/stats/snapshot_debug.php
dbo.adl_flight_core,api/swim/v1/cdm/readiness.php
dbo.adl_flight_core,api/swim/v1/cdm/status.php
dbo.adl_flight_core,api/swim/v1/flight.php
dbo.adl_flight_core,api/swim/v1/flights.php
dbo.adl_flight_core,api/swim/v1/positions.php
dbo.adl_flight_core,api/tmi/gdp_apply.php
dbo.adl_flight_core,api/tmi/gs_apply.php
dbo.adl_flight_core,api/tmi/gs_apply_ctd.php
dbo.adl_flight_core,api/weather/impact.php
dbo.adl_flight_core,database/migrations/adl/013_compute_tmi_tier.sql
dbo.adl_flight_core,database/migrations/adl/014_archive_tmi_aware.sql
dbo.adl_flight_core,database/migrations/adl/015_tmi_trajectory_view.sql
dbo.adl_flight_core,database/migrations/adl/016_tmi_trajectory_view_v2.sql
dbo.adl_flight_core,database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql
dbo.adl_flight_core,database/migrations/swim/002_swim_api_database.sql
dbo.adl_flight_core,scripts/backfill/hibernation_recovery.php
dbo.adl_flight_core,scripts/backfill_ata_utc.sql
dbo.adl_flight_core,scripts/cdm_daemon.php
dbo.adl_flight_core,scripts/diagnose_flight_counts.sql
dbo.adl_flight_core,scripts/eta_accuracy_diagnostic.sql
dbo.adl_flight_core,scripts/eta_accuracy_report.sql
dbo.adl_flight_core,scripts/eta_diagnostic.sql
dbo.adl_flight_core,scripts/prefile_batch_trace.sql
dbo.adl_flight_core,scripts/prefile_eta_debug.sql
dbo.adl_flight_core,scripts/prefile_update_test.sql
dbo.adl_flight_core,scripts/swim_adl_reverse_sync.php
dbo.adl_flight_core,scripts/swim_sync.php
dbo.adl_flight_core,scripts/swim_ws_events.php
dbo.adl_flight_core,scripts/test_swim_eta.php
dbo.adl_flight_core,scripts/timing_accuracy_analysis.sql
dbo.adl_flight_core,scripts/vatsim_adl_daemon.php
dbo.adl_flight_core,status.php
dbo.adl_flight_plan,adl/migrations/080_event_aar_no_defaults.sql
dbo.adl_flight_plan,adl/migrations/086_parse_queue_cleanup.sql
dbo.adl_flight_plan,adl/migrations/086b_fix_retention.sql
dbo.adl_flight_plan,adl/migrations/090_detected_runway_config.sql
dbo.adl_flight_plan,adl/migrations/backfill/backfill_quick_v43.sql
dbo.adl_flight_plan,adl/migrations/backfill/backfill_reparse_v43.sql
dbo.adl_flight_plan,adl/migrations/changelog/006_utility_procedures.sql
dbo.adl_flight_plan,adl/migrations/core/005_adl_views_seed_data.sql
dbo.adl_flight_plan,adl/migrations/core/007_remove_flight_status.sql
dbo.adl_flight_plan,adl/migrations/crossings/FIX_COLUMN_NAMES.sql
dbo.adl_flight_plan,adl/migrations/demand/002_fn_FixDemand.sql
dbo.adl_flight_plan,adl/migrations/demand/003_fn_AirwaySegmentDemand.sql
dbo.adl_flight_plan,adl/migrations/demand/004_fn_RouteSegmentDemand.sql
dbo.adl_flight_plan,adl/migrations/demand/006_fn_ViaDemandBucketed.sql
dbo.adl_flight_plan,adl/migrations/demand/debug_waypoints.sql
dbo.adl_flight_plan,adl/migrations/eta/004_fix_sp_CalculateETA.sql
dbo.adl_flight_plan,adl/migrations/eta/005_sp_ProcessTrajectoryBatch.sql
dbo.adl_flight_plan,adl/migrations/eta/006_fix_batch_proc.sql
dbo.adl_flight_plan,adl/migrations/eta/008_eta_trajectory_deploy.sql
dbo.adl_flight_plan,adl/migrations/eta/010_eta_batch_consolidation.sql
dbo.adl_flight_plan,adl/migrations/eta/011_eta_batch_fix.sql
dbo.adl_flight_plan,adl/migrations/navdata/002_simbrief_parsing.sql
dbo.adl_flight_plan,adl/migrations/navdata/006_simbrief_refresh_integration.sql
dbo.adl_flight_plan,adl/migrations/navdata/008_route_distance_integration.sql
dbo.adl_flight_plan,adl/migrations/oooi/002_oooi_deploy.sql
dbo.adl_flight_plan,adl/migrations/oooi/004_oooi_batch_v2.sql
dbo.adl_flight_plan,adl/migrations/oooi/005_oooi_verify.sql
dbo.adl_flight_plan,adl/migrations/oooi/006_zone_detection_arrival_fix.sql
dbo.adl_flight_plan,adl/migrations/oooi/007_oooi_batch_v3.sql
dbo.adl_flight_plan,adl/migrations/oooi/008_oooi_verify_v2.sql
dbo.adl_flight_plan,adl/migrations/oooi/010_airport_taxi_reference.sql
dbo.adl_flight_plan,adl/migrations/oooi/011_airport_connect_reference.sql
dbo.adl_flight_plan,adl/migrations/stats/002_flight_stats_procedures.sql
dbo.adl_flight_plan,adl/migrations/stats/004_flight_stats_carrier_domestic.sql
dbo.adl_flight_plan,adl/migrations/tmi/002_gs_procedures.sql
dbo.adl_flight_plan,adl/migrations/tmi/003_fix_gs_getflights.sql
dbo.adl_flight_plan,adl/migrations/tmi/003_gdt_views.sql
dbo.adl_flight_plan,adl/migrations/tmi/004_fix_gs_etd_fallback.sql
dbo.adl_flight_plan,adl/migrations/tmi/004_gdt_columns_fix.sql
dbo.adl_flight_plan,adl/migrations/tmi/005_fix_gs_etd_comprehensive.sql
dbo.adl_flight_plan,adl/migrations/tmi/006_gs_model_fir_support.sql
dbo.adl_flight_plan,adl/migrations/tmi/007_gs_model_fir_exclusions.sql
dbo.adl_flight_plan,adl/migrations/tmi/007_update_view_gdt_columns.sql
dbo.adl_flight_plan,adl/migrations/tmi/008_view_compute_missing_times.sql
dbo.adl_flight_plan,adl/migrations/tmi/009_add_gs_flag_eligibility.sql
dbo.adl_flight_plan,adl/migrations/tmi/test_gs_workflow.sql
dbo.adl_flight_plan,adl/migrations/weather/002_weather_impact_detection.sql
dbo.adl_flight_plan,adl/migrations/wind/002_eta_wind_integration.sql
dbo.adl_flight_plan,adl/php/crossing_gis_daemon.php
dbo.adl_flight_plan,adl/php/parse_queue_gis_daemon.php
dbo.adl_flight_plan,adl/procedures/diagnostic_check.sql
dbo.adl_flight_plan,adl/procedures/fn_CalculateRouteDistanceRemaining.sql
